ItemNumber,Upc,MfgModelNumber,Quantity,Allocated,OnSale,Price,CurrentPrice,RetailMap
RUPCC-9PG-ROSE,736676191420,19142,92,False,True,549.99,529.99,0
RWR0832,810098420587,R0832,0,False,False,340.26,340.26,409.95
SFPO9230AOS,706397964481,PO9230AOS,0,False,False,916,916,0
SFPX9120LAOS,706397964559,PX9120LAOS,4,False,False,748,748,0
SVAXCXP350LEG,011356320285,32028,33,False,False,359.53,359.53,0
RUMAG/30,736676900350,90035,0,False,False,31.11,31.11,0
HERR22MBS6,727962506318,RR22MBS6,0,False,False,156.8,156.8,0
RUKNR-6-9M,736676081509,8150,0,True,False,604,604,0
MB75793,884110757937,75793,5,False,False,573.66,573.66,0
RUAMRM223556300,736676904402,90440,14,False,False,24.77,24.77,0
SVB22FVSR,062654702037,70203,0,False,False,281.51,281.51,0
SV55520,011356221667,22166,16,False,False,582,582,0
SVA17F,011356470010,47001,0,False,False,419.63,419.63,0
TS20206,713780202068,20206,0,False,False,342.39,342.39,0
TAG2SLPB,725327617693,1-G2S931LP,0,False,False,205.71,205.71,0
SM170269,022188702699,170269,0,True,False,1313,1313,1489
SM19929,022188149500,199290000,100,False,False,18.82,18.82,0
BEJRTXB318,082442858814,JRTXB318,0,False,False,720,720,879
KEKSA2284,611613022848,KSA2284,0,False,False,157.89,157.89,0
HP995TSOD,752334600127,995TSOD,5,False,False,280.43,280.43,0
MB27933,015813279338,27933,0,False,False,437.76,437.76,0
GL47702,764503035876,47702,0,False,False,24.85,24.85,0
SCAC24,817272010145,AC24,0,False,False,57.85,57.85,75.65
RU1022-M1C,736676211029,21102,0,False,False,404.99,404.99,0
RU1022-TDCVI,736676211494,21149,0,False,False,429.99,429.99,0
RU1022RP-BB-IMB,736676311095,31109,0,False,False,344.99,344.99,0
CD930.360,8053800946599,930.360,0,True,False,455.38,455.38,0
WA5050515,723364232770,5050515,41,False,True,349,299,0
WA2880083,723364232596,2880083,9,False,False,879,879,1049
DD0208811249006,818773023276,02-088-11249-006,8,False,False,1814,1814,2163
TIPX-9TNSF,723551440612,15000209,15,False,False,363.99,363.99,419.99
BTRL22W201SY,754908297702,RL22W201SY,0,False,False,276.52,276.52,0
CI500.265,8053800945202,500.265,0,False,False,213.82,213.82,0
WI512450395,048702025631,512450395,5,False,False,329,329,0
CAHG7164-N,787450811546,HG7164-N,6,False,False,527.28,527.28,624.99
GLUA265S201MOS,764503051128,UA265S201MOS,0,False,False,546,546,620
CZ01536,806703015361,01536,0,False,False,377,377,0
SM13586,022188889963,13586,48,False,False,569,569,0
FN66-101632,845737016838,66-101632,35,False,False,1024,1024,1199
SV55841,011356558411,55841,0,False,True,402.76,349.99,0
TDCR5-361130T,040589030951,CR5-361130T,42,False,True,517.36,427.36,0
GL74065,764503064326,74065,0,False,False,66.21,66.21,0
MB50633,015813506335,50633,0,False,False,489.13,489.13,0
KM3300197,669278331973,3300197,0,False,True,734,677.2173,0
KM3200383,669278323831,3200383,0,False,True,892,861.913,0
KM1000089A,669278100890,1000089A,0,False,False,19,19,0
RUM-14/20GBCPC,736676058471,5847,23,False,False,914,914,0
RUKNV-455-TALO,736676051571,5157,3,False,False,1049.99,1049.99,0
RUKGP1317,736676017829,1782,44,False,False,879.99,879.99,0
SFSTV916556B,706397925505,STV916556B,0,False,False,890,890,0
RUSECURITY9CM15,736676906819,90681,0,False,False,28.22,28.22,0
RUNV455,736676051014,5101,15,False,False,710,710,0
RUNVB-455X,736676052400,5240,0,False,False,775.18,775.18,0
NONAA-SW,744253002533,NAA-SW,35,False,False,311.9,311.9,0
MB68224,015813682244,68224,0,False,False,443.59,443.59,0
SM14099,022188896244,14099,38,False,False,514,514,617
BR011-779204,023614858881,011779204,2,False,False,1379,1379,1619.99
SICROSS6520BSTX,798681694570,CROSS-65-20B-STX,0,False,True,1747,1393,0
DB101BC141,810035755826,DB101BC141,0,False,False,806,806,967
SM150909,022188147810,150909,28,False,False,832,832,939
SI9389BRGAMBI,798681443352,938-9-BRG-AMBI,26,False,False,610,610,699.99
SM10206,022188868227,10206,59,False,False,412,412,0
SU132447,084871324472,SOCOM556-MINI2-DE,40,False,False,935.2,935.2,1169
CI500.110,8053670711013,500.110,0,False,False,183.13,183.13,0
CH79920,678958799200,79920,0,False,False,380.62,380.62,0
CZ11440,806703114408,11440,3,False,False,30,30,0
COO5070XE,098289111210,O5070XE,0,False,False,1447,1447,0
COO5072GCL,098289111975,O5072GCL,4,False,False,1021,1021,0
KEKSA2244,611613022442,KSA2244,0,False,False,165.85,165.85,0
LP171701,030317012809,171701,0,False,True,1228.23,1127.97,1699.99
LP49959,030317499594,49959,0,False,False,34.24,34.24,0
